Kata,Noun,Verb,Adjektiva,Adverb
ambles,,"tenggalam,terbenam,terhunjam,terperosok,turun",,
ambrol,,"cak,bedah,bobol,jebol,meledos,runtuh",,
ambruk,,"anjlok,rampak,roboh,runtuh,terjelabak,tumbang,gering,lara,sakit",,
ambung,,"melambung,membubung,membumbung,memuncak,mengumbang-ambingkan,meninggi,menjulangkan,merabung,naik",,
amfibi,"bancet,bangkong,belentung,berudu,kadal,kadal,air,katak,kintal,kodok,kuak,kungkang,loncek,salamander,si",,,
amin,,"meluluskan,membolehkan,membenarkan,memenuhi,memperkenankan,memufakati,mengabulkan,mengasese,,mengijabkan,mengiyakan,mengizinkan,menyetujui",,
amis,,,anyir,
amoral,,,"asusila,cabul,dursila,jangak,jorok,kotor,lacur,lucah,mesum,porno,tunasusila",
ampai,,"gantung,kait,sampai,sangkut",,
ampai-ampai,"lumbur,teronak,ubur-ubur",,,
ampas,"bekas,endap-endap,keladak,latak,pungkur,residu,sempelah,sempuras,sepah,sisa,tahi",,,
ampela,"empedal,kantong,perut,rempela",,,
ampelas,"amril,rempelas",,,
amplop,"pembungkus,surat,sampul,surat,beselan,ruba-ruba,uang,pelicin,uang,semir,uang,sogok,uang,suap,uang",,,
ampu,,"memapah,memayang,menahan,mencagak,menongkat,menopang,menumpil,menunjang,menyagang,menyangga,menyekang,menyokong,memerintah,mengampukan",,
ampuh,,,"bertuah,cespleng,,efektif,makbul,mangkus,manjur,mempan,mujarab,mustajab,sangkil,tokcer,",
ampun,,,,
amputasi,,memotong,,
amtenar,"cak,abdi,negara,aparat,pegawai",,,
amuk,,"haru,biru,huru,hara,kegaduhan,kekacauan,keonaran,kerusuhan,mabuk,memberang,mengganas,menggila,menyerangsang,prahara,ribut",,
amung,,,,
amunisi,"mesiu,puder",,,
anai-anai,"kelekatu,kiyek,laron,rangas,rayap,semut,putih",,,
anak,"anak,cucu,ananda,anggota,arek,awing,bani,bayi,bocah,buah,hati,budak,bujang,bumiputra,buyung,darah",,,
anak,"anak,kesayangan,sunting,hati",,,
analisis,"pengurangan,penjabaran,kajian,kupasan,penyelidikan,studi,telaah,tilikan,ulasan,uraian",,,
analitis,,,"investigatif,logis,mendalam,sistematis,subtil,tajam,tersusun",
analogi,"afinitas,kemiripan,kesamaan,keserupaan,kesesuaian,paritas,ibarat,kiasan,metafor,paralelisme,perbandingan",,,
anarki,"kehuru-haraan,kekacauan,kerusuhan,keruwetan,pemberon-takan",,,
anarkis,"pemberontak,pengacau,perusuh",,,
anasir,"anggota,bagian,elemen,faktor,komponen,konstituen,molekul,partikel,unsur",,,
ancam,,"melagak,melasikan,mempertakuti,menakut-nakuti,meneror,menggaham,menggebah,menggerantang,menggertak,menggugat,mengintimidasi,mengugut",,
ancang,"anju,awalan,langkah,persiapan",,,
ancar-ancar,"dugaan,patokan,perkiraan,ramalan,taksiran,tebakan,terkaan",,,
ancol,"jazirah,semenanjung,tanjung",,,
anda,"awak,dikau,,engkau,kamu,sampeyan,saudara,sira,situ,,tuan",,,
andai,,,,
andal,,,"bijak,cakap,campin,gagah,jujur,kredibel,meyakinkan,pandai,pantas,patuh,reliabel,setia,taat,tangkas,tepercaya,terjamin,teruji",
andan,,,"albino,balar,bulai,bule",
andeng-andeng,"landang,tahi,lalat,toh",,,
andil,"bagian,saham,sero,tagan,bantuan,jasa,kontribusi,peran,pertolongan,sokongan,sumbangan",,,
andong,"cikar,delman,dokar,kereta,kuda,sado",,,
aneh,,,"abnormal,absurd,ajaib,asing,eksentrik,eksotis,gaib,ganjil,garib,heran,jarang,langka,luar,biasa",
aneka,,,,
aneka,,,"aneka,jenis,aneka,macam,pancaragam,pernak-pernik,rupa-rupa,serba-serbi,warna-warni",
anekdot,"cerita,kisah",,,
aneksasi,"pencaplokan,pendudukan,penguasaan,penyerobotan,perebutan,",,,
angan,"abun-abun,cipta,cita,fantasi,harapan,hasrat,impian,ingatan,khayalan,lamunan,maksud,niat,pikiran,rancangan,reka-rekaan,rencana,renungan",,,
anggap,,"andai,duga,ibarat,kira,pendapat,prasangka,rasa,sangka,tafsir,tanggap,terka",,
anggar,,"memperhitungkan,memperkirakan,menaksir,mengira-ngira",,
anggar,"candrasa,cenangkas,jenawi,lamang,pedang,sabel,syamsir",,,
anggota,"ahli,anak,buah,anasir,badan,bagian,elemen,kaki,komponen,konstituen,lengan,tangan,tubuh,unsur,anak",,,
angguk,,"melenggut,menganggut,menyengguk,mengamini,mengiyakan,sepakat,setuju",,
anggun,,,"antun,apas,ayu,bagus,baik,begak,bongkak,cakap,cantik,cegak,elegan,elok,gelis,gombong,jangak,janguk,jelita,juwita,kacak,kirana,laksmi,manis,megah,mentereng,merinin,molek,rancak,rupawan",
anggur,,"berpangku,tangan",,
anggut,,menganggut,,
angin,"aliran,udara,arus,udara,badai,bayu,gas,hawa,kentut,pawana,siklon,topan,udara,ki,harapan,jalan,kans",,,
angka,"biji,bilangan,digit,kredit,nilai,nomor,poin,ponten,skor",,,
angkara,"durjana,kebengisan,kejahatan,kekejaman,kelaliman,onar,kekurangajaran",,,
angkasa,"alam,antariksa,awang-awang,bumantara,cakrawala,dirgantara,langit,sawang,langit,sawangan,tawang,udara",,,
angkasawan,"penyiar,pewarta,antariksawan,astronaut,kosmonaut,penerbang,pilot",,,
angkat,,"acungkan,,ambil,naikkan,singsing,tenggar,tinggikan,angkut,bawa",,
angker,,,"berhantu,menakutkan,mengerikan,menyeramkan,sangar",
angket,"daftar,pertanyaan,kuesioner,jajak",,,
angkin,"bengkung,kendit,sabuk,setagen,timang",,,
angkuh,,,"arogan,bedegang,bengah,besar",
angkup,"apit,capit,cunam,jepit,kempa,sapit,sepit",,,
angkut,,"membawa,memindahkan,memuat,mengambil,mengangkat,mengantarkan,mengirim,menggotong",,
